12.19,12.32,12.4643,12.1029
12.1929,12.2814,12.5343,12.1914
12.2486,12.86,12.8614,12.0986
13.9929,14.8343,15.2857,13.9843
14.02,13.1371,14.1114,12.5057
147.05,145.52,147.49,144.27
147.51,147.54,148.09,146.84
146.58,145.1,147.2,144.96
143.65,144.09,144.3,143.27
143.79,143.923,144.16,143.31
143.68,144.47,144.6,143.3762
144.53,143.91,144.9,143.87
143.64,143.5,143.95,143.18
142.27,142.44,142.68,141.85
142.44,141.22,142.92,141.16
140.68,141.88,142,140.45
141.2,141.41,142.04,141.11
141.83,141.48,141.88,140.87
141.05,141.91,142.38,141.05
141.8,141.6,142.15,141.01
141.63,142.94,143.35,140.06
143.17,143.6,143.8792,142.9
143.34,143.73,144.18,143.27
143.66,144.29,144.52,143.45
144.02,144.22,145.46,143.81
144.77,143.25,144.89,143.17
143.7,143.71,144.12,143.05
143.66,143.72,144.27,143.01
143.93,144.19,144.5,143.5
144.12,143.68,144.49,143.19
143.8,140.91,144.04,140.62
140.88,139.39,141.22,138.62
140.64,141.5,141.74,140.35
140.92,141.26,141.5844,140.61
141.42,139.845,141.6,139.76
139.84,142.11,142.8,139.73
141.46,140.4,141.5,140.23
139.99,141,141,139.89
140.69,140.72,141.02,140.26
140.46,139.41,140.7501,139.025
138.99,139.3,139.65,138.84
139.2,138.85,139.43,138.82
139.14,139.25,139.3571,138.64
138.68,138.74,138.79,137.05
139,138.95,139.8,138.82
139.52,139.06,139.98,138.79
139.34,139.365,139.77,138.5959
139.78,138.78,139.83,138.59
138.96,140,140.2786,138.76
139.79,137.89,140.15,137.595
136.99,137.08,137.435,136.7
136.93,137.14,137.435,136.28
136.66,135.91,136.66,135.28
136.53,137.38,137.48,136.3
137.11,136.43,137.12,136.11
136.7,136.23,136.75,135.98
135.72,135.1,135.83,135.1
135.345,135.67,135.9,134.8398
135.51,135.52,136.27,134.62
135.02,133.47,135.09,133.25
133.29,133.08,133.82,132.75
132.12,132.46,132.94,132.05
132.42,131.65,132.445,131.12
132.04,131.35,132.22,131.22
131.53,130.54,132.09,130.45
130.29,129.13,130.5,128.9
129.08,128.31,129.19,128.16
128.53,127.975,129.39,127.78
128.75,127.03,130.49,127.01
121.35,121.15,121.39,120.62
121.63,120.93,121.63,120.66
121.95,122.14,122.35,121.6
121.94,121.67,122.44,121.6
121.88,120.42,122.1,120.28
119.97,119.55,120.1,119.5
120.08,120,120.81,119.77
120,120.45,120.45,119.7346
119.78,119.4,120.09,119.37
119.99,120,120.5,119.71
120,118.34,120.24,118.22
119.04,119.11,119.62,118.81
119.25,118.895,119.3,118.21
119.75,118.74,119.93,118.6
119.11,118.77,119.38,118.3
118.99,117.95,119.43,117.94
117.91,116.78,118.16,116.47
116.61,115.92,116.8642,115.81
